epoch,Zatom,Zatom-L,Zatom-XL
0,19.64182,10.66805,2.10083
250,1.75808,1.56799,1.90358
500,1.1903,1.24015,1.34222
750,1.124,1.10702,1.15693
1000,1.04569,1.00602,1.0264
1250,0.99231,0.95718,0.94898
1500,0.94617,0.92139,0.90873
1750,0.93031,0.91278,0.89944
2000,0.90646,0.88432,0.86318
