epoch,Zatom,Zatom-L,Zatom-XL
0,0.0,0.0,0.0
250,0.81709,0.82945,0.78988
500,0.85793,0.85425,0.84974
750,0.86321,0.87011,0.86944
1000,0.87091,0.88129,0.88591
1250,0.87986,0.88723,0.89744
1500,0.88825,0.89203,0.90045
1750,0.89036,0.89399,0.90265
2000,0.89395,0.89774,0.90272
